Tipo de paro;STATUS;Equipo ;Area que presenta la falla;Componente del area del equipo que presenta falla;Descripción breve ;Descripcion larga;Descubrimiento de la Falla;Síntoma de la falla;IMPacto de la falla;Tipo de falla;Causa de la falla;"Hora del INICIO del trabajo
";"Hora de FINALIZACIÓN del trabajo
";Duracion de trabajo;Nombre del equipo nuevo;Código del componente;HORA INICIO;HORA FIN;WEEK;DAY;Cantidad de tecnicos;Horas hombre;;;
BD;No operat.;Reach Stacker - 39;Telescopic Boom [RS04.46];Telescopic Boom-Hydraulic Cylinder [RS04.46.199];DERRAME DE FLUIDO HIDRAULICO EN PLUMA;ROTURA DE CILINDRO DE EXTENSION;102 OPERACIONES;607 Fuga;203 Impacto Operacional;;;01:32:00;01:50:00;0,30;RS04_;RS04.46.199;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;3;0,9;;;
MC;No operat.;Reach Stacker - 39;Telescopic Boom [RS04.46];Telescopic Boom-Hydraulic Cylinder [RS04.46.199];DERRAME DE FLUIDO HIDRAULICO EN PLUMA;ROTURA DE CILINDRO DE EXTENSION;;;;;;;;;RS04_;RS04.46.199;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;0;0;;;
MC;No operat.;Spreader - 22;Twin System [SP07.95];Twin System-Locking System [SP07.95.226];NO TRABA;NO FUNCIONA TRABA DE TWIN-PENDIENTE MP 500HS;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;;;;;;SP07_;SP07.95.226;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;0;0;;;
BD;Seguimiento;Rubber Tyred Gantry Crane - K11;Control System [RTG02.02];Control System-PLC [RTG02.02.259];APAGADO DRIVERS;FALLA F33-F31-ACM2- EN CELDA DE CARGA 2, SE ACTIVO BY-PASS;103 MANTENIMIENTO;602 Pérdida de desempeño;203 Impacto Operacional;;;23:15:00;23:25:00;0,17;RTG02_;RTG02.02.259;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;3;0,5;;;
MC;Operativa;Reach Stacker - 41;Powertrain [RS06.24];Powertrain-Transmission [RS06.24.337];NO TRACCIONA;SE RETOCO FICHA DE SENSOR DE TRANSMISION-P/N B765-CODIGO ERROR 18/18. PROVISORIO;102 OPERACIONES;602 Pérdida de desempeño;203 Impacto Operacional;;;02:30:00;03:00:00;0,50;RS06_;RS06.24.337;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;3;1,5;;;
MC;Seguimiento;Rubber Tyred Gantry Crane - K02;LV/Power System [RTG01.04];LV/Power System-Auxiliary Power Supply [RTG01.04.023];EN CABINA SIN 220V;OPERACIONES RECLAMA FUNCIONEN LOS ENCHUFES PARA CARGAR LAS RADIOS;102 OPERACIONES;609 Roto/doblado;203 Impacto Operacional;;;;;;RTG01_;RTG01.04.023;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;0;0;;;
BD;Operativa;Reach Stacker - 38;Spreader Comp. [RS03.14];Spreader Comp. [RS03.14];SE RECORRE SPREADER;REVSION Y REPARACION EN SPREADER-SE REPARO FICHA DE HARTIG;102 OPERACIONES;601 Paro;203 Impacto Operacional;;;00:26:00;02:30:00;2,07;RS03_;RS03.14;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;3;6,2;;;
MC;Seguimiento;Reach Stacker - 41;Lubrication System [RS06.20];Lubrication System-Chassis Lubrication [RS06.20.084];CRUJIDO ;VERIFICAR FUNCIONAMIENTO DE LURBICACION AUTOMATICA;102 OPERACIONES;603 Sonido extraño;203 Impacto Operacional;;;03:05:00;03:15:00;0,17;RS06_;RS06.20.084;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;3;0,5;;;
AO;Operativa;Rubber Tyred Gantry Crane - K16;Spreader Control [RTG03.29];Spreader Control [RTG03.29];APAGADO DRIVERS;SE APAGO Y VOLVIO A ENCENDER;103 MANTENIMIENTO;601 Paro;203 Impacto Operacional;;;01:08:00;01:24:00;0,27;RTG03_;RTG03.29;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;3;0,8;;;
BD;Operativa;Rubber Tyred Gantry Crane - K20;Spreader [RTG05.30];Spreader-Twistlock System-Landing Pin Assembly [RTG05.30.345.162];SIN SEÑAL;CONTROL Y AJUSTE DE SENSORES;102 OPERACIONES;601 Paro;203 Impacto Operacional;;;02:40:00;02:50:00;0,17;RTG05_;RTG05.30.345.162;jueves, 1 de junio de 2023;jueves, 1 de junio de 2023;22;1;3;0,5;;;
